,title,authors,venue,year
A_1147,networked data management design points,james r. hamilton,vldb,1999
A_1148,the bt-tree : a branched and temporal access method,"david b. lomet , betty salzberg , linan jiang , manuel barrena garcía",vldb,2000
A_1149,microsoft index tuning wizard for sql server 7.0,"surajit chaudhuri , vivek r. narasayya",sigmod conference,1998
A_1150,incomplete path expressions and their disambiguation,"yannis e. ioannidis , yezdi lashkari",sigmod conference,1994
A_1151,data and knowledge base research at hong kong university of science and technology,"babak hamidzadeh , kamalakar karlapalem , qing li , chung-dak shum , dik lun lee , frederick h. lochovsky , beat wüthrich , alex chia-yee kean , pamela drew",sigmod record,1995
A_1152,protdb : probabilistic data in xml,"andrew nierman , h. v. jagadish",vldb,2002
A_1153,database architecture optimized for the new bottleneck : memory access,"stefan manegold , peter a. boncz , martin l. kersten",vldb,1999
A_1154,efficient and extensible algorithms for multi query optimization,"s. sudarshan , siddhesh bhobe , s. seshadri , prasan roy",sigmod conference,2000
A_1155,chair 's message,richard t. snodgrass,sigmod record,1998
A_1156,distributed file organization with scalable cost/performance,"yuri breitbart , gerhard weikum , radek vingralek",sigmod conference,1994
A_1157,the piazza peer data management project,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",sigmod record,2003
A_1158,microsoft universal data access platform,"michael pizzo , josé a. blakeley",sigmod conference,1998
A_1159,searching and mining fine-grained semi-structured data,soumen chakrabarti,vldb,2002
A_1160,reminiscences on influential papers,"z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom , jan paredaens",sigmod record,1998
A_1161,lh * rs : a high-availability scalable distributed data structure using reed solomon codes,"thomas j. e. schwarz , witold litwin",sigmod conference,2000
A_1162,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources","peter m. schwarz , mary tork roth",vldb,1997
A_1163,foreword : management of semistructured data,dan suciu,sigmod record,1997
A_1164,querying atsql databases with temporal logic,"jan chomicki , david toman , michael h. böhlen",acm trans . database syst .,2001
A_1165,"tpc-d : the challenges , issues and results",ramesh bhashyam,vldb,1996
A_1166,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets","king-ip lin , christos faloutsos",sigmod conference,1995
A_1167,"shutdown , budget , and funding",xiaolei qian,sigmod record,1996
A_1168,cost-based optimization for magic : algebra and implementation,"hamid pirahesh , t. y. cliff leung , s. sudarshan , praveen seshadri , divesh srivastava , raghu ramakrishnan , joseph m. hellerstein , peter j. stuckey",sigmod conference,1996
A_1169,query processing and optimization in oracle rdb,"gennady antoshenkov , mohamed ziauddin",vldb j.,1996
A_1170,roadrunner : automatic data extraction from data-intensive web sites,"giansalvatore mecca , valter crescenzi , paolo merialdo",sigmod conference,2002
A_1171,c2p : clustering based on closest pairs,"yannis theodoridis , alexandros nanopoulos , yannis manolopoulos",vldb,2001
A_1172,object query standards,andrew e. wade,sigmod record,1996
A_1173,using quantitative information for efficient association rule generation,"márcio de carvalho , rodolfo f. resende , bruno pôssas , wagner meira jr.",sigmod record,2000
A_1174,estimating compilation time of a query optimizer,"dengfeng gao , eileen tien lin , jun rao , ihab f. ilyas , guy m. lohman",sigmod conference,2003
A_1175,pbir - perception-based image retrieval,"lihyuarn l. chang , edward y. chang , tim cheng",sigmod conference,2001
A_1176,experiments on query expansion for internet yellow page services using web log mining,"iko pramudiono , katsumi takahashi , masaru kitsuregawa , yusuke ohura",vldb,2002
A_1177,supervised wrapper generation with lixto,"sergio flesca , robert baumgartner , georg gottlob",vldb,2001
A_1178,alphasort : a risc machine sort,"david b. lomet , jim gray , zarka cvetanovic , chris nyberg , tom barclay",sigmod conference,1994
A_1179,mapping extended entity relationship model to object modeling technique,joseph fong,sigmod record,1995
A_1180,data management issues in electronic commerce ( panel ),m. tamer özsu,sigmod conference,1999
A_1181,answering queries with aggregation using views,"h. v. jagadish , shaul dar , divesh srivastava , alon y. levy",vldb,1996
A_1182,ghost : fine granularity buffering of indexes,"cheng hian goh , kian-lee tan , beng chin ooi , d. sim",vldb,1999
A_1183,a database platform for bioinformatics,sandeepan banerjee,vldb,2000
A_1184,"powerbookmarks : a system for personalizable web information organization , sharing , and management","kazuyuki shimazu , sougata mukherjea , yi-leh wu , divyakant agrawal , kyoji hirata , yukiyoshi saito , quoc vu , corey bufi , wen-syan li , kevin chen-chuan chang , edward y. chang , reiko ito , yoshinori hara , yutaka kimura",sigmod conference,1999
A_1185,"lh * - a scalable , distributed data structure","donovan a. schneider , marie-anne neimat , witold litwin",acm trans . database syst .,1996
A_1186,maximizing buffer and disk utilizations for news on-demand,"raymond t. ng , jinhai yang",vldb,1994
A_1187,relational databases for querying xml documents : limitations and opportunities,"jeffrey f. naughton , kristin tufte , chun zhang , gang he , david j. dewitt , jayavel shanmugasundaram",vldb,1999
A_1188,panel : querying networked databases,"divesh srivastava , nick koudas",sigmod conference,2003
A_1189,"a query language for multidimensional arrays : design , implementation , and optimization techniques","limsoon wong , rona machlin , leonid libkin",sigmod conference,1996
A_1190,reasoning about spatial relationships in picture retrieval systems,"clement t. yu , a. prasad sistla , r. haddad",vldb,1994
A_1191,"wireless graffiti - data , data everywhere matters","tomasz imielinski , b. r. badrinath",vldb,2002
A_1192,using metadata for the intelligent browsing of structured media objects,"william i. grosky , farshad fotouhi , ishwar k. sethi",sigmod record,1994
A_1193,a performance study of four index structures for set-valued attributes of low cardinality,"guido moerkotte , sven helmer",vldb j.,2003
A_1194,a requirement-based approach to data modeling and re-engineering,"christian t. ramiller , alice h. muntz",vldb,1994
A_1195,editor 's notes,michael j. franklin,sigmod record,1997
A_1196,integrating reliable memory in databases,"peter m. chen , wee teck ng",vldb,1997
A_1197,vertical data migration in large near-line document archives based on markov-chain predictions,"achim kraiss , gerhard weikum",vldb,1997
A_1198,on schema matching with opaque column names and data values,"jaewoo kang , jeffrey f. naughton",sigmod conference,2003
A_1199,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes,"arthur t. whitney , dennis shasha",sigmod conference,2001
A_1200,an anonymous electronic commerce scheme with an off-line authority and untrusted agents,"josep domingo-ferrer , jordi herrera-joancomartí",sigmod record,1998
A_1201,the structured information manager : a database system for sgml documents,ron sacks-davis,vldb,1996
A_1202,the new middleware,rich finkelstein,sigmod record,1995
A_1203,disnic-plan : a nicnet based distributed database for micro-level planning in india,m. moni,vldb,1996
A_1204,semantic and schematic similarities between database objects : a context-based approach,"vipul kashyap , amit p. sheth",vldb j.,1996
A_1205,ebusiness standards and architectures,anil nori,vldb,2002
A_1206,metadata in video databases,"ramesh jain , arun hampapur",sigmod record,1994
A_1207,issues in network management in the next millennium,"michael l. brodie , surajit chaudhuri",vldb,1999
A_1208,"cosima - your smart , speaking e-salesperson","werner kießling , thorsten ehm , stefan holland , stefan fischer 0003",sigmod conference,2001
A_1209,on efficiently implementing schemasql on an sql database system,"fereidoon sadri , laks v. s. lakshmanan , subbu n. subramanian",vldb,1999
A_1210,the power of languages for the manipulation of complex values,"serge abiteboul , catriel beeri",vldb j.,1995
A_1211,stream processing of xpath queries with predicates,"ashish kumar gupta , dan suciu",sigmod conference,2003
A_1212,xml-enabled workflow management for e-services across heterogeneous platforms,"michael gillmann , german shegalov , gerhard weikum",vldb j.,2001
A_1213,db2 query parallelism : staging and implementation,yun wang,vldb,1995
A_1214,an overview of the emerging third-generation sql standard ( tutorial ),"nelson mendonça mattos , jim melton",sigmod conference,1995
A_1215,online association rule mining,christian hidber,sigmod conference,1999
A_1216,using latency-recency profiles for data delivery on the web,"louiqa raschid , laura bright",vldb,2002
A_1217,smooth - a distributed multimedia database system,"christian hanin , roland tusch , carmen riedler , harald kosch , margit lang , lászló böszörményi , christian hofbauer , alexander bachlechner",vldb,2001
A_1218,clustering categorical data : an approach based on dynamical systems,"david gibson , jon m. kleinberg , prabhakar raghavan",vldb j.,2000
A_1219,data mining in the bioinformatics domain,shalom tsur,vldb,2000
A_1220,simultaneous optimization and evaluation of multiple dimensional queries,"amit shukla , jeffrey f. naughton , yihong zhao , prasad deshpande",sigmod conference,1998
A_1221,coss : the common object services specifications,bruce e. martin,sigmod conference,1994
A_1222,application architecture : 2tier or 3tier ? what is dbms 's role ? ( panel abstract ),anil nori,sigmod conference,2000
A_1223,emancipating instances from the tyranny of classes in information modeling,"jeffrey parsons , yair wand",acm trans . database syst .,2000
A_1224,from tree patterns to generalized tree patterns : on efficient evaluation of xquery,"zhimin chen , stelios paparizos , h. v. jagadish , laks v. s. lakshmanan",vldb,2003
A_1225,an xml-based wrapper generator for web information extraction,"david buttler , wei tang , calton pu , wei han , ling liu",sigmod conference,1999
A_1226,pix : exact and approximate phrase matching in xml,"yu xu , mary f. fernandez , sihem amer-yahia , divesh srivastava",sigmod conference,2003
A_1227,developing an indexing scheme for xml document collection using the oracle8i extensibility framework,"ying hu , timothy chorma , nipun agarwal , seema sundara , jagannathan srinivasan",vldb,2001
A_1228,answering xml queries on heterogeneous data sources,"ioana manolescu , donald kossmann , daniela florescu",vldb,2001
A_1229,business data management for b2b electronic commerce,"manfred a. jeusfeld , mareike schoop , christoph quix",sigmod record,2002
A_1230,lopix : a system for xml data integration and manipulation,wolfgang may,vldb,2001
A_1231,i/o reference behavior of production database workloads and the tpc benchmarks - an analysis at the logical level,"windsor w. hsu , alan jay smith , honesty c. young",acm trans . database syst .,2001
A_1232,weaving relations for cache performance,"mark d. hill , anastassia ailamaki , david j. dewitt , marios skounakis",vldb,2001
A_1233,efficient algorithms for processing xpath queries,"reinhard pichler , georg gottlob , christoph koch",vldb,2002
A_1234,xsb as an efficient deductive database engine,"david scott warren , konstantinos f. sagonas , terrance swift",sigmod conference,1994
A_1235,agent-based semantic interoperability in infosleuth,"bruce bargmeyer , brad perry , jerry fowler , marian h. nodine",sigmod record,1999
A_1236,the xml typechecking problem,dan suciu,sigmod record,2002
A_1237,data integration and warehousing in telecom italia,"daniele nardi , maurizio lenzerini , stefano trisolini",sigmod conference,1999
A_1238,a compact b-tree,"ivan t. bowman , peter bumbulis",sigmod conference,2002
A_1239,partitioned garbage collection of large object store,"barbara liskov , umesh maheshwari",sigmod conference,1997
A_1240,addendum to automatic generation of production rules for integrity maintenance,"letizia tanca , stefano paraboschi , piero fraternali , stefano ceri",acm trans . database syst .,1995
A_1241,information systems research at rwth aachen,matthias jarke,sigmod record,1995
A_1242,orthogonal optimization of subqueries and aggregation,"milind joshi , césar a. galindo-legaria",sigmod conference,2001
A_1243,lineage tracing for general data warehouse transformations,"jennifer widom , yingwei cui",vldb j.,2003
A_1244,design and implementation of rmp - a virtual electronic market place,"wolfgang klas , susanne boll , bernard battaglin",sigmod record,1998
A_1245,modelling and querying video data,"rune hjelsvold , roger midtstraum",vldb,1994
A_1246,the xps approach to loading and unloading terabyte databases,sanket atal,vldb,1996
A_1247,dynamic multi-resource load balancing in parallel database systems,"robert marek , erhard rahm",vldb,1995
A_1248,update propagation protocols for replicated databases,"raghavan komondoor , abraham silberschatz , yuri breitbart , s. seshadri , rajeev rastogi",sigmod conference,1999
A_1249,cost models for overlapping and multiversion structures,"yufei tao , jun zhang , dimitris papadias",acm trans . database syst .,2002
A_1250,data mining-based intrusion detectors : an overview of the columbia ids project,"wenke lee , eleazar eskin , wei fan , salvatore j. stolfo , philip k. chan",sigmod record,2001
A_1251,mocha : a self-extensible database middleware system for distributed data sources,"manuel rodriguez-martinez , nick roussopoulos",sigmod conference,2000
A_1252,probview : a flexible probabilistic database system,"nicola leone , robert ross , laks v. s. lakshmanan , v. s. subrahmanian",acm trans . database syst .,1997
A_1253,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation,"suresha , kaushik dutta , krithi ramamritham , anindya datta , helen m. thomas , debra e. vandermeer",sigmod conference,2002
A_1254,the oracle warehouse,gary hallmark,vldb,1995
A_1255,standards for databases on the grid,"andrew eisenberg , jim melton , susan malaika",sigmod record,2003
A_1256,evolution of groupware for business applications : a database perspective on lotus domino/notes,"c. mohan , s. watts , ron barber , amit somani , markos zaharioudakis",vldb,2000
A_1257,index-driven similarity search in metric spaces,"gísli r. hjaltason , hanan samet",acm trans . database syst .,2003
A_1258,discovering internet marketing intelligence through online analytical web usage mining,"alex g. büchner , maurice d. mulvenna",sigmod record,1998
A_1259,low-cost compensation-based query processing,"øystein torbjørnsen , øystein grøvlen , svein-olaf hvasshovd",vldb,1998
A_1260,editor 's notes,ling liu,sigmod record,2003
A_1261,visionary : a next generation visualization system for databases,michael stonebraker,sigmod conference,2003
A_1262,bhunt : automatic discovery of fuzzy algebraic constraints in relational data,"peter j. haas , paul brown",vldb,2003
A_1263,efficient search of multi-dimensional b-trees,"dave birdsall , hedieh yaghmai , harry leslie , rohit jain",vldb,1995
A_1264,practical issues with commercial use of federated databases,jim kleewein,vldb,1996
A_1265,parallelism and its price : a case study of nonstop sql/mp,"susanne englert , ray glasstone , waqar hasan",sigmod record,1995
A_1266,in cyber space no one can hear you scream,chris pound,vldb,1999
A_1267,cache invalidation scheme for mobile computing systems with real-time data,"hei-wing leung , joe chun-hung yuen , edward chan , kam-yiu lam",sigmod record,2000
A_1268,semantic access : semantic interface for querying databases,"naphtali rishe , rukshan athauda , artyom shaposhnikov , jun yuan , dmitry vasilevsky , xiaoling lu , xiaobin ma , shu-ching chen , alexander vaschillo",vldb,2000
A_1269,database design for incomplete relations,"mark levene , george loizou",acm trans . database syst .,1999
A_1270,data streams : fresh current or stagnant backwater ? ( panel ),"joseph m. hellerstein , jennifer widom",sigmod conference,2002
A_1271,hippocratic databases,"yirong xu , jerry kiernan , rakesh agrawal , ramakrishnan srikant",vldb,2002
A_1272,a new approach to developing and implementing eager database replication protocols,"gustavo alonso , bettina kemme",acm trans . database syst .,2000
A_1273,intra-transaction parallelism in the mapping of an object model to a relational multi-processor system,"moira c. norrie , hans-jörg schek , michael rys",vldb,1996
A_1274,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"xiaoyang sean wang , changzhou wang",vldb j.,2001
A_1275,the role of b2b engines in b2b integration architectures,christoph bussler,sigmod record,2002
A_1276,management of data and services in the environmental information system ( uis ) of baden-württemberg,"wolf-fritz riekert , roland mayer-föll , gerlinde wiest",sigmod record,1997
A_1277,merge replication in microsoft 's sql server 7.0,brad hammond,sigmod conference,1999
A_1278,qursed : querying and reporting semistructured data,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos",sigmod conference,2002
A_1279,on the costs of multilingualism in database systems,"a. kumaran , jayant r. haritsa",vldb,2003
A_1280,wrapper generation for semi-structured internet sources,"craig a. knoblock , naveen ashish",sigmod record,1997
A_1281,time series similarity measures and time series indexing,"gautam das , dimitrios gunopulos",sigmod conference,2001
A_1282,chair 's message,richard t. snodgrass,sigmod record,2000
A_1283,dbminer : interactive mining of multiple-level knowledge in relational databases,"wei wang , krzysztof koperski , yongjian fu , osmar r. zaïane , jenny chiang , jiawei han",sigmod conference,1996
A_1284,answering complex sql queries using automatic summary tables,"roberta cochrane , hamid pirahesh , monica urata , markos zaharioudakis , george lapis",sigmod conference,2000
A_1285,efficient incremental garbage collection for client-server object database systems,"laurent amsaleg , olivier gruber , michael j. franklin",vldb,1995
A_1286,user-oriented smart-cache for the web : what you seek is what you get !,"arnaud sahuguet , raman chandrasekar , zoé lacroix",sigmod conference,1998
A_1287,maintaining data privacy in association rule mining,"shariq rizvi , jayant r. haritsa",vldb,2002
A_1288,merging models based on given correspondences,"philip a. bernstein , rachel pottinger",vldb,2003
A_1289,"review of spatial databases with application to gis by philippe rigaux , michel scholl , and agnes voisard . morgan kaufmann 2002",nancy wiegand,sigmod record,2003
A_1290,an approximate search engine for structural databases,"kaizhong zhang , qicheng ma , jason tsong-li wang , xinhuan zheng , xiong wang , dennis shasha , zasha weinberg , bruce a. shapiro",sigmod conference,2000
A_1291,answering queries using views : a survey,alon y. halevy,vldb j.,2001
A_1292,semcog : an object-based image retrieval system and its visual query interface,"k. selçuk candan , wen-syan li , kyoji hirata , yoshinori hara",sigmod conference,1997
A_1293,finding hierarchical heavy hitters in data streams,"graham cormode , flip korn , s. muthukrishnan , divesh srivastava",vldb,2003
A_1294,tribeca : a stream database manager for network traffic analysis,mark sullivan,vldb,1996
A_1295,a complete temporal relational algebra,"debabrata dey , veda c. storey , terence m. barron",vldb j.,1996
A_1296,data modelling versus ontology engineering,"mustafa jarrar , peter spyns , robert meersman",sigmod record,2002
A_1297,implementing deductive databases by mixed integer programming,"anil nerode , colin bell , raymond t. ng , v. s. subrahmanian",acm trans . database syst .,1996
A_1298,evaluation of main memory join algorithms for joins with set comparison join predicates,"guido moerkotte , sven helmer",vldb,1997
A_1299,on relational support for xml publishing : beyond sorting and tagging,"raghav kaushik , jeffrey f. naughton , surajit chaudhuri",sigmod conference,2003
A_1300,spatial joins using seeded trees,"chinya v. ravishankar , ming-ling lo",sigmod conference,1994
A_1301,xbase : making your gigabyte disk queriable,"jianhua lv , yubin bao , hongjun lu , ge yu , guoren wang , yaxin yu",sigmod conference,2002
A_1302,poesia : an ontological workflow approach for composing web services in agriculture,"ling liu , eduardo delgado assad , calton pu , renato fileto , claudia bauzer medeiros",vldb j.,2003
A_1303,database graph views : a practical model to manage persistent graphs,"alejandro gutiérrez , philippe pucheral , jean-marc thévenin , hermann steffen",vldb,1994
A_1304,accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber",vldb,1995
A_1305,research in multi-organizational processes and semantic information brokering at the lsdis lab,"john a. miller , amit p. sheth , ismailcem budak arpinar , krys kochut",sigmod record,2001
A_1306,"the sensor spectrum : technology , trends , and requirements","samuel madden , wei hong , joseph m. hellerstein",sigmod record,2003
A_1307,visual web information extraction with lixto,"georg gottlob , robert baumgartner , sergio flesca",vldb,2001
A_1308,on completeness of historical relational query languages,"james clifford , albert croker , alexander tuzhilin",acm trans . database syst .,1994
A_1309,the gmap : a versatile tool for physical data independence,"marvin h. solomon , yannis e. ioannidis , odysseas g. tsatalos",vldb,1994
A_1310,describing semistructured data,luca cardelli,sigmod record,2001
A_1311,"towards adaptive workflow systems , cscw-98 workshop report","mark klein , abraham bernstein , chrysanthos dellarocas",sigmod record,1999
A_1312,on periodic resource scheduling for continuous-media databases,"minos n. garofalakis , banu özden , abraham silberschatz",vldb j.,1998
A_1313,querying multiple bioinformatics data sources : can semantic web research help ?,"terence critchlow , matthew coleman , david buttler , wei han , daniel rocco , li xiong , ling liu , calton pu , renato fileto",sigmod record,2002
A_1314,locking protocols for materialized aggregate join views,"michael watzke , gang luo , curt ellmann , jeffrey f. naughton",vldb,2003
A_1315,capbased-ams : a capability-based and event-driven activity management system,"kamalakar karlapalem , helen p. yeung , patrick c. k. hung",sigmod conference,1996
A_1316,issues in developing very large data warehouses,"vish jumani , lyman do , david van rossum , pamela drew , wei jin",vldb,1998
A_1317,efficient algorithms for mining outliers from large data sets,"kyuseok shim , sridhar ramaswamy , rajeev rastogi",sigmod conference,2000
A_1318,maintenance of data cubes and summary tables in a warehouse,"inderpal singh mumick , dallan quass , barinderpal singh mumick",sigmod conference,1997
A_1319,historical queries along multiple lines of time evolution,"vassilis j. tsotras , gad m. landau , jeanette p. schmidt",vldb j.,1995
A_1320,the impact of database research on industrial products ( panel summary ),"david b. lomet , daniel barbará , josé a. blakeley , michael stonebraker , daniel h. fishman",sigmod record,1994
A_1321,xquery : a query language for xml,donald d. chamberlin,sigmod conference,2003
A_1322,"the clustra telecom database : high availability , high throughput , and real-time response","svein-olaf hvasshovd , øystein torbjørnsen , svein erik bratsberg , per holager",vldb,1995
A_1323,efficient processing of joins on set-valued attributes,nikos mamoulis,sigmod conference,2003
A_1324,evaluating queries with generalized path expressions,"guido moerkotte , sophie cluet , vassilis christophides",sigmod conference,1996
A_1325,towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop,"ramez elmasri , richard t. snodgrass , babis theodoulidis , inderpal singh mumick , arie segev , m. tamer özsu , umeshwar dayal , niki pissinou , barbara pernici",sigmod record,1994
A_1326,p-grid : a self-organizing structured p2p system,"zoran despotovic , manfred hauswirth , karl aberer , philippe cudré-mauroux , magdalena punceva , anwitaman datta , roman schmidt",sigmod record,2003
A_1327,the cougar approach to in-network query processing in sensor networks,"johannes gehrke , yong yao",sigmod record,2002
A_1328,automata theory for xml researchers,frank neven,sigmod record,2002
A_1329,act-net - the active database management system manifesto : a rulebase of adbms features,?,sigmod record,1996
A_1330,issues in data stream management,"lukasz golab , m. tamer özsu",sigmod record,2003
A_1331,tsql2 language specification,"wolfgang käfer , curtis e. dyreson , arie segev , krishna g. kulkarni , michael d. soo , don s. batory , ramez elmasri , nikos a. lorentzos , nick kline , john f. roddick , gad ariav , james clifford , richard t. snodgrass , suryanarayana m. sripada , t. y. cliff leung , fabio grandi , ilsoo ahn , christian s. jensen",sigmod record,1994
A_1332,mdm : a multiple-data-model tool for the management of heterogeneous database schemes,"paolo atzeni , riccardo torlone",sigmod conference,1997
A_1333,spatial data management for computer aided design,"andreas müller , marco pötke , thomas seidl , hans-peter kriegel",sigmod conference,2001
A_1334,estimating the output cardinality of partial preaggregation with a measure of clusteredness,"guido moerkotte , thomas neumann , sven helmer",vldb,2003
A_1335,illuminating the dark side of web services,michael l. brodie,vldb,2003
A_1336,cache conscious algorithms for relational query processing,"jeffrey f. naughton , ambuj shatdal , chander kant",vldb,1994
A_1337,proxy-server architectures for olap,"panos kalnis , dimitris papadias",sigmod conference,2001
A_1338,logical design for temporal databases with multiple granularities,"alexander brodsky , sushil jajodia , claudio bettini , xiaoyang sean wang",acm trans . database syst .,1997
A_1339,legodb : customizing relational storage for xml documents,"prasan roy , philip bohannon , jayant r. haritsa , jérôme siméon , maya ramanath , juliana freire",vldb,2002
A_1340,an xml query engine for network-bound data,"daniel s. weld , alon y. halevy , zachary g. ives",vldb j.,2002
A_1341,v-trees - a storage method for long vector data,"maurício r. mediano , marcelo dreux , marco a. casanova",vldb,1994
A_1342,application servers : born-again tp monitors for the web ? ( panel abstract ),c. mohan,sigmod conference,2001
A_1343,dbmss on a modern processor : where does time go ?,"david a. wood , mark d. hill , david j. dewitt , anastassia ailamaki",vldb,1999
A_1344,high-performance extensible indexing,marcel kornacker,vldb,1999
A_1345,"message from editor-in-chief , acm transactions on database systems",won kim,sigmod record,1999
A_1346,data management for earth system science,"james frew , jeff dozier",sigmod record,1997
A_1347,dataguides : enabling query formulation and optimization in semistructured databases,"roy goldman , jennifer widom",vldb,1997
A_1348,approximate medians and other quantiles in one pass and with limited memory,"bruce g. lindsay , gurmeet singh manku , sridhar rajagopalan",sigmod conference,1998
A_1349,on-demand data elevation in hierarchical multimedia storage servers,"thomas papadakis , peter triantafillou",vldb,1997
A_1350,rp * : a family of order preserving scalable distributed data structures,"witold litwin , marie-anne neimat , donovan a. schneider",vldb,1994
A_1351,foreword by the vldb '98 pc chairmen : best papers of vldb '98,"oded shmueli , jennifer widom",vldb j.,2000
A_1352,going public : open-source databases and database research,philippe bonnet,sigmod conference,2002
A_1353,chorochronos : a research network for spatiotemporal database systems,"enrico nardelli , timos k. sellis , andrew u. frank , stéphane grumbach , hans-jörg schek , manolis koubarakis , michel scholl , ralf hartmut güting , barbara pernici , christian s. jensen , nikos a. lorentzos , babis theodoulidis , yannis manolopoulos , peter widmayer",sigmod record,1999
A_1354,qxtract : a building block for efficient information extraction from plain-text databases,"luis gravano , eugene agichtein",sigmod conference,2003
A_1355,information systems research at george mason university,"sushil jajodia , amihai motro , edgar h. sibley , alexander brodsky , larry kerschberg , xiaoyang sean wang , daniel barbará",sigmod record,1997
A_1356,answering queries with useful bindings,"edward y. chang , chen li",acm trans . database syst .,2001
A_1357,heraclitus : elevating deltas to be first-class citizens in a database programming language,"dean jacobs , shahram ghandeharizadeh , richard hull",acm trans . database syst .,1996
A_1358,using referential integrity to easily define consistent subset replicas,brad hammond,vldb,1996
A_1359,sentinel : an object-oriented dbms with event-based rules,sharma chakravarthy,sigmod conference,1997
A_1360,pesto : an integrated query/browser for object databases,"laura m. haas , michael j. carey , vivekananda maganty , john h. williams",vldb,1996
A_1361,integrating modelling systems for environmental management information systems,"david j. abel , dean kuo , kerry l. taylor",sigmod record,1997
A_1362,timber : a native xml database,"andrew nierman , cong yu , jignesh m. patel , adriane chapman , nuwee wiwatwattana , h. v. jagadish , yuqing wu , laks v. s. lakshmanan , divesh srivastava , shurug al-khalifa , stelios paparizos",vldb j.,2002
A_1363,nodose - a tool for semi-automatically extracting semi-structured data from text documents,brad adelberg,sigmod conference,1998
A_1364,distinct sampling for highly-accurate answers to distinct values queries and event reports,phillip b. gibbons,vldb,2001
A_1365,report on first international workshop on real-time database systems,"sang hyuk son , kwei-jay lin , azer bestavros",sigmod record,1996
A_1366,real-time index concurrency control,"s. seshadri , jayant r. haritsa",sigmod record,1996
A_1367,efficiently supporting ad hoc queries in large datasets of time sequences,"h. v. jagadish , christos faloutsos , flip korn",sigmod conference,1997
A_1368,extending practical pre-aggregation in on-line analytical processing,"torben bach pedersen , curtis e. dyreson , christian s. jensen",vldb,1999
A_1369,call for book reviews,karl aberer,sigmod record,2003
A_1370,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"john shepherd , quan z. sheng , du q. huynh , jialie shen , anne h. h. ngu",sigmod conference,2003
A_1371,your mediators need data conversion !,"sophie cluet , katarzyna smaga , jérôme siméon , claude delobel",sigmod conference,1998
A_1372,generating spatiotemporal datasets on the www,"mario a. nascimento , yannis theodoridis",sigmod record,2000
A_1373,enabling end-users to construct data-intensive web-sites from xml repositories : an example-based approach,"hiroyuki kitagawa , satoshi takano , seiichi koizumi , atsuyuki morishima",vldb,2001
A_1374,the context interchange mediator prototype,"kofi fynn , henry b. kon , cheng hian goh , thomas lee , stéphane bressan , stuart e. madnick , michael siegel , annie w. shum , marta jessica jakobisiak , tito pena , jessica qu , karim hussein",sigmod conference,1997
A_1375,1-safe algorithms for symmetric site configurations,"maitrayi sabaratnam , øystein torbjørnsen , rune humborstad , svein-olaf hvasshovd",vldb,1997
A_1376,a framework for information visualisation,"peter j. barclay , kenneth j. mitchell , jessie b. kennedy",sigmod record,1996
A_1377,introduction to constraint databases - book review,bart kuijpers,sigmod record,2002
A_1378,broadcast protocols to support efficient retrieval from databases by mobile users,"anindya datta , vijay kumar , aslihan celik , debra e. vandermeer",acm trans . database syst .,1999
A_1379,bitmap index design and evaluation,"yannis e. ioannidis , chee yong chan",sigmod conference,1998
A_1380,book review column,karl aberer,sigmod record,2003
A_1381,analysis of existing databases at the logical level : the dba companion project,"fabien de marchi , jean-marc petit , farouk toumani , stéphane lopes",sigmod record,2003
A_1382,a framework for supporting data integration using the materialized and virtual approaches,"gang zhou , richard hull",sigmod conference,1996
A_1383,from browsing to interacting : dbms support for responive websites ( abstract ),raghu ramakrishnan,sigmod conference,2000
A_1384,enterprise transaction processing on windows nt,greg hope,sigmod conference,1995
A_1385,semantic integration of semistructured and structured data sources,"sonia bergamaschi , maurizio vincini , silvana castano",sigmod record,1999
A_1386,picture programming project,"nita goyal , moshé m. zloof , charles hoch , michael suckow , ravi krishnamurthy , brian meckler",sigmod conference,1997
A_1387,ajax : an extensible data cleaning tool,"daniela florescu , helena galhardas , dennis shasha , eric simon",sigmod conference,2000
A_1388,"database tuning : principles , experiments , and troubleshooting techniques ( part i )","dennis shasha , philippe bonnet",sigmod conference,2002
A_1389,tuple routing strategies for distributed eddies,"feng tian , david j. dewitt",vldb,2003
A_1390,aqua : a fast decision support systems using approximate query answers,"swarup acharya , phillip b. gibbons , viswanath poosala",vldb,1999
A_1391,systematic development of data mining-based data quality tools,"matthias jarke , udo grimmer , dominik lübbers",vldb,2003
A_1392,xl : a platform for web services,"andreas grünhagen , steffen rost , donald kossmann , daniela florescu",sigmod conference,2002
